"Befolkningsfremskrivning 2020 efter område, alder og tid"

" "," ","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045"
"København"
" ","0 år",9921,9892,10075,10282,10519,10817,11169,11496,11723,11846,11904,11926,11930,11926,11919,11909,11893,11868,11833,11782,11718,11641,11559,11475,11399,11336
" ","1 år",8590,8980,8949,9115,9299,9512,9780,10096,10390,10593,10704,10756,10774,10778,10774,10768,10758,10743,10721,10688,10643,10584,10514,10439,10363,10295
" ","2 år",8044,7863,8204,8175,8325,8490,8684,8927,9214,9481,9664,9765,9811,9828,9831,9828,9820,9811,9797,9776,9746,9703,9650,9586,9518,9450
" ","3 år",7307,7374,7215,7518,7489,7625,7776,7951,8173,8434,8677,8844,8936,8978,8993,8995,8993,8987,8977,8963,8944,8915,8876,8827,8768,8705
" ","4 år",6607,6878,6935,6791,7066,7037,7164,7304,7467,7674,7918,8146,8302,8389,8428,8442,8443,8440,8434,8424,8411,8393,8366,8328,8281,8226
" ","5 år",6148,6266,6522,6574,6440,6694,6667,6786,6917,7068,7263,7493,7709,7856,7938,7975,7987,7989,7985,7980,7971,7958,7941,7914,7879,7833
" ","6 år",5773,5872,5981,6227,6273,6150,6385,6358,6469,6593,6736,6923,7140,7345,7484,7562,7597,7609,7609,7606,7601,7591,7579,7563,7536,7503

"Landsdel og kommunefremskrivning er i 2016, 2017 og 2018 opgjort på "
"en revideret måde i forhold til tidligere år. Se "
"www.dst.dk/doku/befolkningsfremskrivning. På grund af afrundinger vil "
"summering af alle aldre i tabellen afvige fra hele kommunens "
"folketal. "

